id,title,prompt_html,options_json,answer_id,answer_detail_html
"q1","What's the output?","<pre><span>function</span> <span class=""pl-en"">sayHi</span><span>(</span><span>)</span> <span>{</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>name</span><span>)</span><span>;</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>age</span><span>)</span><span>;</span>
  <span>var</span> <span>name</span> <span>=</span> <span class=""pl-s"">'Lydia'</span><span>;</span>
  <span>let</span> <span>age</span> <span>=</span> <span>21</span><span>;</span>
<span>}</span>

<span class=""pl-en"">sayHi</span><span>(</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`Lydia` and `undefined`""},{""id"":""B"",""content"":""`Lydia` and `ReferenceError`""},{""id"":""C"",""content"":""`ReferenceError` and `21`""},{""id"":""D"",""content"":""`undefined` and `ReferenceError`""}]","D","<p>Within the function, we first declare the `name` variable with the `var` keyword. This means that the variable gets hoisted (memory space is set up during the creation phase) with the default value of `undefined`, until we actually get to the line where we define the variable. We haven't defined the variable yet on the line where we try to log the `name` variable, so it still holds the value of `undefined`.</p>
<p>Variables with the `let` keyword (and `const`) are hoisted, but unlike `var`, don't get <i>initialized</i>. They are not accessible before the line we declare (initialize) them. This is called the ""temporal dead zone"". When we try to access the variables before they are declared, JavaScript throws a `ReferenceError`.</p>
<p></p>"
"q2","What's the output?","<pre><span>for</span> <span>(</span><span>var</span> <span>i</span> <span>=</span> <span>0</span><span>;</span> <span>i</span> <span>&lt;</span> <span>3</span><span>;</span> <span>i</span><span>++</span><span>)</span> <span>{</span>
  <span class=""pl-en"">setTimeout</span><span>(</span><span>(</span><span>)</span> <span>=></span> <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>i</span><span>)</span><span>,</span> <span>1</span><span>)</span><span>;</span>
<span>}</span>

<span>for</span> <span>(</span><span>let</span> <span>i</span> <span>=</span> <span>0</span><span>;</span> <span>i</span> <span>&lt;</span> <span>3</span><span>;</span> <span>i</span><span>++</span><span>)</span> <span>{</span>
  <span class=""pl-en"">setTimeout</span><span>(</span><span>(</span><span>)</span> <span>=></span> <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>i</span><span>)</span><span>,</span> <span>1</span><span>)</span><span>;</span>
<span>}</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`0 1 2` and `0 1 2`""},{""id"":""B"",""content"":""`0 1 2` and `3 3 3`""},{""id"":""C"",""content"":""`3 3 3` and `0 1 2`""}]","C","<p>Because of the event queue in JavaScript, the `setTimeout` callback function is called <em>after</em> the loop has been executed. Since the variable `i` in the first loop was declared using the `var` keyword, this value was global. During the loop, we incremented the value of `i` by `1` each time, using the unary operator `++`. By the time the `setTimeout` callback function was invoked, `i` was equal to `3` in the first example.</p>
<p>In the second loop, the variable `i` was declared using the `let` keyword: variables declared with the `let` (and `const`) keyword are block-scoped (a block is anything between `{ }`). During each iteration, `i` will have a new value, and each value is scoped inside the loop.</p>
<p></p>"
"q3","What's the output?","<pre><span>const</span> <span>shape</span> <span>=</span> <span>{</span>
  <span>radius</span>: <span>10</span><span>,</span>
  <span class=""pl-en"">diameter</span><span>(</span><span>)</span> <span>{</span>
    <span>return</span> <span>this</span><span>.</span><span>radius</span> <span>*</span> <span>2</span><span>;</span>
  <span>}</span><span>,</span>
  <span class=""pl-en"">perimeter</span>: <span>(</span><span>)</span> <span>=></span> <span>2</span> <span>*</span> <span class=""pl-v"">Math</span><span>.</span><span>PI</span> <span>*</span> <span>this</span><span>.</span><span>radius</span><span>,</span>
<span>}</span><span>;</span>

<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>shape</span><span>.</span><span class=""pl-en"">diameter</span><span>(</span><span>)</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>shape</span><span>.</span><span class=""pl-en"">perimeter</span><span>(</span><span>)</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`20` and `62.83185307179586`""},{""id"":""B"",""content"":""`20` and `NaN`""},{""id"":""C"",""content"":""`20` and `63`""},{""id"":""D"",""content"":""`NaN` and `63`""}]","B","<p>Note that the value of `diameter` is a regular function, whereas the value of `perimeter` is an arrow function.</p>
<p>With arrow functions, the `this` keyword refers to its current surrounding scope, unlike regular functions! This means that when we call `perimeter`, it doesn't refer to the shape object, but to its surrounding scope (window for example).</p>
<p>There is no value `radius` on that object, which returns `NaN`.</p>
<p></p>"
"q4","What's the output?","<pre><span>+</span><span>true</span><span>;</span>
<span>!</span><span class=""pl-s"">'Lydia'</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`1` and `false`""},{""id"":""B"",""content"":""`false` and `NaN`""},{""id"":""C"",""content"":""`false` and `false`""}]","A","<p>The unary plus tries to convert an operand to a number. `true` is `1`, and `false` is `0`.</p>
<p>The string `'Lydia'` is a truthy value. What we're actually asking, is ""is this truthy value falsy?"". This returns `false`.</p>
<p></p>"
"q5","Which one is true?","<pre><span>const</span> <span>bird</span> <span>=</span> <span>{</span>
  <span>size</span>: <span class=""pl-s"">'small'</span><span>,</span>
<span>}</span><span>;</span>

<span>const</span> <span>mouse</span> <span>=</span> <span>{</span>
  <span>name</span>: <span class=""pl-s"">'Mickey'</span><span>,</span>
  <span>small</span>: <span>true</span><span>,</span>
<span>}</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`mouse.bird.size` is not valid""},{""id"":""B"",""content"":""`mouse[bird.size]` is not valid""},{""id"":""C"",""content"":""`mouse[bird[\""size\""]]` is not valid""},{""id"":""D"",""content"":""All of them are valid""}]","A","<p>In JavaScript, all object keys are strings (unless it's a Symbol). Even though we might not <em>type</em> them as strings, they are always converted into strings under the hood.</p>
<p>JavaScript interprets (or unboxes) statements. When we use bracket notation, it sees the first opening bracket `[` and keeps going until it finds the closing bracket `]`. Only then, it will evaluate the statement.</p>
<p>`mouse[bird.size]`: First it evaluates `bird.size`, which is `""small""`. `mouse[""small""]` returns `true`</p>
<p>However, with dot notation, this doesn't happen. `mouse` does not have a key called `bird`, which means that `mouse.bird` is `undefined`. Then, we ask for the `size` using dot notation: `mouse.bird.size`. Since `mouse.bird` is `undefined`, we're actually asking `undefined.size`. This isn't valid, and will throw an error similar to `Cannot read property ""size"" of undefined`.</p>
<p></p>"
"q6","What's the output?","<pre><span>let</span> <span>c</span> <span>=</span> <span>{</span> <span>greeting</span>: <span class=""pl-s"">'Hey!'</span> <span>}</span><span>;</span>
<span>let</span> <span>d</span><span>;</span>

<span>d</span> <span>=</span> <span>c</span><span>;</span>
<span>c</span><span>.</span><span>greeting</span> <span>=</span> <span class=""pl-s"">'Hello'</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>d</span><span>.</span><span>greeting</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`Hello`""},{""id"":""B"",""content"":""`Hey!`""},{""id"":""C"",""content"":""`undefined`""},{""id"":""D"",""content"":""`ReferenceError`""},{""id"":""E"",""content"":""`TypeError`""}]","A","<p>In JavaScript, all objects interact by <em>reference</em> when setting them equal to each other.</p>
<p>First, variable `c` holds a value to an object. Later, we assign `d` with the same reference that `c` has to the object.</p>
<a target=""_blank"" rel=""noopener noreferrer"" href=""https://camo.githubusercontent.com/7fa22323daec0bc9742948c600eb9d951d28488132dcfb47e181d8b0a92b5f6e/68747470733a2f2f692e696d6775722e636f6d2f6b6f356b3066732e706e67""><img src=""https://camo.githubusercontent.com/7fa22323daec0bc9742948c600eb9d951d28488132dcfb47e181d8b0a92b5f6e/68747470733a2f2f692e696d6775722e636f6d2f6b6f356b3066732e706e67"" width=""200"" data-canonical-src=""https://i.imgur.com/ko5k0fs.png"" style=""max-width: 100%;""></a>
<p>When you change one object, you change all of them.</p>
<p></p>"
"q7","What's the output?","<pre><span>let</span> <span>a</span> <span>=</span> <span>3</span><span>;</span>
<span>let</span> <span>b</span> <span>=</span> <span>new</span> <span class=""pl-v"">Number</span><span>(</span><span>3</span><span>)</span><span>;</span>
<span>let</span> <span>c</span> <span>=</span> <span>3</span><span>;</span>

<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>a</span> <span>==</span> <span>b</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>a</span> <span>===</span> <span>b</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>b</span> <span>===</span> <span>c</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`true` `false` `true`""},{""id"":""B"",""content"":""`false` `false` `true`""},{""id"":""C"",""content"":""`true` `false` `false`""},{""id"":""D"",""content"":""`false` `true` `true`""}]","C","<p>`new Number()` is a built-in function constructor. Although it looks like a number, it's not really a number: it has a bunch of extra features and is an object.</p>
<p>When we use the `==` operator, it only checks whether it has the same <em>value</em>. They both have the value of `3`, so it returns `true`.</p>
<p>However, when we use the `===` operator, both value <em>and</em> type should be the same. It's not: `new Number()` is not a number, it's an **object**. Both return `false.`</p>
<p></p>"
"q8","What's the output?","<pre><span>class</span> <span class=""pl-v"">Chameleon</span> <span>{</span>
  <span>static</span> <span class=""pl-en"">colorChange</span><span>(</span><span>newColor</span><span>)</span> <span>{</span>
    <span>this</span><span>.</span><span>newColor</span> <span>=</span> <span>newColor</span><span>;</span>
    <span>return</span> <span>this</span><span>.</span><span>newColor</span><span>;</span>
  <span>}</span>

  <span class=""pl-en"">constructor</span><span>(</span><span>{</span> newColor <span>=</span> <span class=""pl-s"">'green'</span> <span>}</span> <span>=</span> <span>{</span><span>}</span><span>)</span> <span>{</span>
    <span>this</span><span>.</span><span>newColor</span> <span>=</span> <span>newColor</span><span>;</span>
  <span>}</span>
<span>}</span>

<span>const</span> <span>freddie</span> <span>=</span> <span>new</span> <span class=""pl-v"">Chameleon</span><span>(</span><span>{</span> <span>newColor</span>: <span class=""pl-s"">'purple'</span> <span>}</span><span>)</span><span>;</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>freddie</span><span>.</span><span class=""pl-en"">colorChange</span><span>(</span><span class=""pl-s"">'orange'</span><span>)</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`orange`""},{""id"":""B"",""content"":""`purple`""},{""id"":""C"",""content"":""`green`""},{""id"":""D"",""content"":""`TypeError`""}]","D","<p>The `colorChange` function is static. Static methods are designed to live only on the constructor in which they are created, and cannot be passed down to any children or called upon class instances. Since `freddie` is an instance of class Chameleon, the function cannot be called upon it. A `TypeError` is thrown.</p>
<p></p>"
"q9","What's the output?","<pre><span>let</span> <span>greeting</span><span>;</span>
<span>greetign</span> <span>=</span> <span>{</span><span>}</span><span>;</span> <span class=""pl-c"">// Typo!</span>
<span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span>greetign</span><span>)</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""`{}`""},{""id"":""B"",""content"":""`ReferenceError: greetign is not defined`""},{""id"":""C"",""content"":""`undefined`""}]","A","<p>It logs the object, because we just created an empty object on the global object! When we mistyped `greeting` as `greetign`, the JS interpreter actually saw this as `global.greetign = {}` (or `window.greetign = {}` in a browser).</p>
<p>In order to avoid this, we can use `""use strict""`. This makes sure that you have declared a variable before setting it equal to anything.</p>
<p></p>"
"q10","What happens when we do this?","<pre><span>function</span> <span class=""pl-en"">bark</span><span>(</span><span>)</span> <span>{</span>
  <span>console</span><span>.</span><span class=""pl-en"">log</span><span>(</span><span class=""pl-s"">'Woof!'</span><span>)</span><span>;</span>
<span>}</span>

<span>bark</span><span>.</span><span>animal</span> <span>=</span> <span class=""pl-s"">'dog'</span><span>;</span></pre><div class=""zeroclipboard-container position-absolute right-0 top-0"">
     
  </div>","[{""id"":""A"",""content"":""Nothing, this is totally fine!""},{""id"":""B"",""content"":""`SyntaxError`. You cannot add properties to a function this way.""},{""id"":""C"",""content"":""`\""Woof\""` gets logged.""},{""id"":""D"",""content"":""`ReferenceError`""}]","A","<p>This is possible in JavaScript, because functions are objects! (Everything besides primitive types are objects)</p>
<p>A function is a special type of object. The code you write yourself isn't the actual function. The function is an object with properties. This property is invocable.</p>
<p></p>"
